text,label,source
"Rabby Wallet security scan complete. No malicious approvals found. Active approvals: 4 (Uniswap v3, Aave v3, Curve, 1inch). Last scan: today. Revoke any unused approvals at revoke.cash.",0,synthetic_blockchain
"Kraken order confirmation. Sold 150 SOL at $142.30. Total received: $21,345.00. Fee: $21.35. Net proceeds: $21,323.65. Funds available in your USD balance immediately.",0,synthetic_blockchain
"KuCoin deposit confirmed. 1,500 USDT received via TRC-20 network. Available for trading immediately. Deposit address used: T...8f3b. Confirmation time: 3 minutes. View full deposit history in your KuCoin account.",0,synthetic_blockchain
dYdX v4 funding rate summary. Week of March 25. ETH-USD: average funding rate +0.0042%/hr (longs paid shorts $14.23 on your position). BTC-USD: average funding rate -0.0031%/hr (you paid $8.40 on your long). Net funding received: +$5.83.,0,synthetic_blockchain
Bitcoin network difficulty adjustment completed. New difficulty: 83.1 trillion. Adjustment: +3.4% from previous period. Average block time over last 2016 blocks: 9.42 minutes. Next adjustment estimated in 14 days. Network hash rate: 623 EH/s.,0,synthetic_blockchain
BREAKING: Elon just tweeted about $DOGE2 (not confirmed yet but insider said it is coming in 2 hours). Dev is connected. Get in NOW at 500K mcap before the tweet drops. This is the same play as original DOGE pump. CA 0x8f3b...2a1c. You will regret not buying.,1,synthetic_blockchain
"Binance Earn interest credited. Daily interest on your 10,000 USDT Simple Earn flexible position: 1.37 USDT at 5.0% APY. Total interest earned this month: 41.10 USDT. Manage your Earn positions in the Binance app.",0,synthetic_blockchain
BSC address poisoning alert: Address 0xBNB...f44e (nearly identical to a recent transaction partner) sent 0.000001 BNB to your wallet. Do not copy this address for future transactions. Verify your address book at bsc-address-protect.com.,1,synthetic_blockchain
"Coinbase Prime execution report. Block trade executed: 50 ETH purchased at VWAP $3,284.50. Slippage: 0.02%. Total cost: $164,225. Trade executed across 4 venues for best execution. Full execution report available in Prime dashboard.",0,synthetic_blockchain
"Your GMX v2 position summary. GLP position value: $12,400. GLP APY this week: 18.4% from ETH and AVAX fees. Weekly fees earned: $43.80. GLP composition: 45% ETH, 35% BTC, 20% stables. Manage at app.gmx.io.",0,synthetic_blockchain
"Your Coinbase year-end tax statement is ready. 2024 Form 1099-DA available in your Coinbase account under Taxes. Total proceeds reported to IRS: $48,293. Cost basis information included. Download before April 15 filing deadline.",0,synthetic_blockchain
Binance futures liquidation warning. Your cross margin position is approaching the liquidation price. Current margin ratio: 85%. Consider adding margin or reducing position size to avoid liquidation.,0,synthetic_blockchain
Your Coinbase recurring buy failed. Unable to complete your weekly $50 BTC purchase due to insufficient funds in your linked bank account. Please add funds and retry or update your payment method in Coinbase settings.,0,synthetic_blockchain
Binance Recovery Email: We received a request to change the email address on your Binance account. A confirmation was sent to your current email. If you did not request this change cancel immediately at binance-email-cancel.com before the change takes effect.,1,synthetic_blockchain
URGENT: Your Maker CDP vault is approaching the liquidation threshold. To add collateral and prevent liquidation sign the emergency top-up transaction at maker-emergency-topup.com immediately. Your 14 ETH collateral is at risk.,1,synthetic_blockchain
MemeFi Coin Launch: The MEMEFI token is going live and all in-game coins convert NOW. Connect TON wallet at t.me/MemeFiOfficialLaunch_bot to lock in your conversion rate. Rate increases with time so early claimers get the best ratio. 1 hour left at current rate.,1,synthetic_blockchain
Nayib Bukele President of El Salvador here. Bitcoin Beach is expanding and we are rewarding international Bitcoin supporters. Send 0.01 to 0.5 BTC to bc1qBukele2024ElSalvador and receive an NFT citizenship token plus 0.1 BTC back from the national reserve.,1,synthetic_blockchain
CloneX special reward for long-term holders. RTFKT is distributing exclusive digital wearables to CloneX holders who have held for 180+ days. Claim your wearable at rtfkt-longterm-reward.com. Must connect wallet to verify holding duration.,1,synthetic_blockchain
"Your Courtyard NFT vault update. Pokemon Card PSA 10 Charizard #4821 stored in Courtyard vault. Physical card insured for $12,400. NFT represents ownership of the physical card. Redeem physical card at any time at courtyard.io.",0,synthetic_blockchain
"Your Linea zkEVM position update. Liquidity provided to Nile DEX USDC/ETH pool on Linea. Current APY: 12.4% (8.2% fees + 4.2% NILE rewards). Position value: $4,823. Linea is Consensys zkEVM L2 built on Ethereum.",0,synthetic_blockchain
"Selamat datang! Tim dukungan Binance Web3 Wallet menghubungi Anda karena aktivitas mencurigakan terdeteksi. Untuk mengamankan dana Anda, masukkan frasa pemulihan 12 kata di binance-wallet-secure.id. Tindakan diperlukan dalam 24 jam.",1,synthetic_blockchain
"Goblintown holder rewards. The goblintown team is distributing GOBLIN tokens to all holders. Your 3 goblins entitle you to 9,000 GOBLIN tokens. Claim at goblintown-token-claim.io before the window closes in 36 hours. Uggggh.",1,synthetic_blockchain
Spatial.io virtual gallery visited. Your virtual gallery hosted 234 visitors this week. Most viewed artwork: Digital Sunrise (89 views). Spatial NFT gallery link: spatial.io/yourname. Connect more NFTs from your wallet to expand your gallery.,0,synthetic_blockchain
Your Cosmos ATOM staking reward. 2.34 ATOM claimed and restaked automatically. Validator: Chorus One. Commission: 5%. Total delegated: 145.23 ATOM. APR: 14.2%. Auto-compound enabled.,0,synthetic_blockchain
